recipe_id,category,main_material_slot,sub_materials,craft_time,facility_origin,output_qty,quality_band,theoretical_cost_anchor,route_bonus_bias
rec_001,武器,黑铁/青钢/赤铜,"白栎木|精铁粒",25,炉湾工坊,1,白绿,86,官道短运
rec_002,武器,青钢/赤铜,"薄竹|药油",32,炉湾工坊,1,绿蓝,108,渡口追击
rec_003,武器,黑砂矿/赤铜,"碎银砂|皮索",45,炉湾工坊,1,蓝紫,162,军需长线
rec_004,武器,细针包/青钢片,"雾丝布|沉香苔",28,炉湾工坊,1,绿蓝,116,黑契潜行
rec_005,防具,青钢/黑砂矿,"皮革|缠丝线",30,炉湾工坊,1,绿蓝,124,山关防守
rec_006,武器,黑砂矿/星纹陨砂,"硬骨枝|精铁锭",60,烟窟旧堡作坊,1,紫,238,军需长线
rec_007,防具,雾丝布/黑风皮,"缠丝线|薄竹片",34,炉湾工坊,1,绿蓝,132,水路快运
rec_008,防具,雾丝布/白栎纤维,"软革|麻线",20,炉湾工坊,1,白绿,72,官道短运
rec_009,防具,青钢/黑铁,"皮索|铁环",42,炉湾工坊,1,蓝,154,矿线争夺
rec_010,防具,黑砂矿/星纹陨砂,"精铁锭|牛皮层",68,烟窟旧堡作坊,1,紫,268,军需长线
rec_011,饰品,河玉/风裂晶,"细银砂|缠丝线",35,炉湾工坊,1,蓝,148,经商周转
rec_012,饰品,沉浮枝/火纹石,"细针包|薄银片",36,炉湾工坊,1,蓝,152,黑契潜行
rec_013,丹药,苦参/露珠草,"青蒲根|井水",15,青蒲药炉,5,白绿,48,高安补给
rec_014,丹药,安神籽/青蒲根,"薄荷叶|砂糖",18,青蒲药炉,4,白绿,56,高安补给
rec_015,丹药,湿骨草/沉香苔,"苦参|雾丝露",26,青蒲药炉,3,绿蓝,78,边州补给
rec_016,丹药,寒泥藤/露珠草,"脂木|酒糟",22,青蒲药炉,4,绿蓝,68,山关防守
rec_017,机关,砂木/沉浮枝,"火硝粉|空铃壳",28,炉湾工坊,3,绿蓝,82,黑契潜行
rec_018,机关,风裂晶/空铃壳,"薄竹|丝线",24,炉湾工坊,2,绿蓝,74,侦听追猎
rec_019,运输件,硬骨枝/白栎木,"麻线|油脂",20,炉湾工坊,1,绿,64,长线跑商
rec_020,行具件,风裂晶/河玉,"指针|白栎木",30,炉湾工坊,1,蓝,88,水路快运
rec_021,特殊,雨生花/玄灯孢,"黄纸|细银砂|护脉墨",40,烟窟旧堡作坊,1,紫,126,深层远征
rec_022,食物,盐肉/砂木炭,"香料|麻纸",16,青蒲药炉,4,白绿,42,边州补给
rec_023,食物/酒,火纹石酒曲/高粱,"安神籽|蜂浆",18,青蒲药炉,3,绿蓝,54,帮派宴席
rec_024,深层道具,玄灯孢/星纹陨砂,"火蜡|薄银片",48,烟窟旧堡作坊,1,紫,168,深层远征
